,country,population,year,co2_per_capita,co2,coal_co2,energy_per_capita,temperature_change_from_co2
0,afghanistan,40099460.0,2021,0.296,11.874,4.204,676.696,0.001
1,africa,1393676724.0,2021,1.041,1450.796,433.855,4027.117,0.077
2,africa (gcp),945.8012862745098,2021,945.8012862745098,1450.783,945.8012862745098,945.8012862745098,945.8012862745098
3,aland islands,945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,945.8012862745098
4,albania,2854710.0,2021,1.618,4.619,0.174,14100.432,0.0
5,algeria,44177964.0,2021,3.99,176.269,1.096,15914.461,0.002
6,american samoa,45056.0,2021,945.8012862745098,945.80128627451,945.8012862745098,35426.699,945.8012862745098
7,andorra,79057.0,2021,5.729,0.453,0.0,945.8012862745098,0.0
8,angola,34503776.0,2021,0.619,21.363,0.0,2791.332,0.004
9,anguilla,15779.0,2021,9.173,0.145,0.0,945.8012862745098,0.0
10,antarctica,945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
11,antigua and barbuda,93229.0,2021,5.027,0.469,0.0,29464.332,0.0
12,argentina,45276788.0,2021,4.118,186.448,4.816,21328.186,0.011
13,armenia,2790971.0,2021,2.439,6.806,0.012,17684.547,0.0
14,aruba,106543.0,2021,8.054,0.858,0.0,46090.324,0.0
15,asia,4693332132.0,2021,4.621,21688.988,11959.011,18812.572,0.354
16,asia (gcp),945.8012862745098,2021,945.8012862745098,18970.906,945.8012862745098,945.8012862745098,945.8012862745098
17,asia (excl. china and india),945.8012862745098,2021,4.036,7506.934,2200.712,945.8012862745098,0.19
18,australia,25921094.0,2021,15.091,391.187,150.958,61439.91,0.014
19,austria,8922086.0,2021,7.243,64.626,12.269,45241.051,0.002
20,azerbaijan,10312992.0,2021,3.732,38.493,0.004,18974.334,0.001
21,bahamas,407920.0,2021,5.85,2.386,0.005,35447.574,0.0
22,bahrain,1463266.0,2021,26.664,39.016,0.0,161111.203,0.0
23,bangladesh,169356240.0,2021,0.55,93.176,14.853,2831.162,0.002
24,barbados,281204.0,2021,4.002,1.125,0.0,23025.998,0.0
25,belarus,9578172.0,2021,6.223,59.602,3.282,31910.822,0.004
26,belgium,11611416.0,2021,8.244,95.722,11.016,63592.086,0.006
27,belize,400037.0,2021,1.723,0.689,0.0,7437.571,0.0
28,benin,12996901.0,2021,0.597,7.756,0.284,2484.818,0.001
29,bermuda,64213.0,2021,8.533,0.548,0.0,46490.223,0.0
30,bhutan,777500.0,2021,1.958,1.522,0.448,27785.357,0.0
31,bolivia,12079474.0,2021,1.931,23.322,0.013,7062.148,0.003
32,bonaire sint eustatius and saba,26730.0,2021,3.868,0.103,0.0,945.8012862745098,0.0
33,bosnia and herzegovina,3270948.0,2021,4.148,13.566,8.295,23013.498,0.001
34,botswana,2588424.0,2021,2.511,6.5,3.654,9385.398,0.0
35,brazil,214326224.0,2021,2.281,488.881,68.23,16659.977,0.051
36,british virgin islands,31145.0,2021,5.09,0.159,0.0,20316.449,0.0
37,brunei,445382.0,2021,23.532,10.481,0.386,103268.102,0.0
38,bulgaria,6885864.0,2021,6.181,42.56,20.854,32216.705,0.002
39,burkina faso,22100690.0,2021,0.258,5.698,0.0,904.726,0.001
40,burundi,12551215.0,2021,0.055,0.693,0.05,293.889,0.0
41,cambodia,16589031.0,2021,1.147,19.029,4.698,4035.081,0.001
42,cameroon,27198632.0,2021,0.342,9.297,0.0,1593.62,0.002
43,canada,38155012.0,2021,14.3,545.635,43.862,100738.891,0.027
44,cape verde,587936.0,2021,1.136,0.668,0.0,7249.497,0.0
45,central african republic,5457165.0,2021,0.042,0.227,0.0,286.132,0.0
46,central america (gcp),945.8012862745098,2021,945.8012862745098,177.165,945.8012862745098,945.8012862745098,945.8012862745098
47,chad,17179744.0,2021,0.113,1.94,0.0,361.161,0.0
48,chile,19493184.0,2021,4.383,85.447,26.185,24462.756,0.003
49,china,1425893504.0,2021,8.046,11472.368,7955.985,30768.826,0.128
50,christmas island,945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
51,colombia,51516560.0,2021,1.78,91.703,12.015,11147.847,0.009
52,comoros,821632.0,2021,0.363,0.298,0.0,1633.784,0.0
53,congo,5835814.0,2021,1.279,7.464,0.0,2348.011,0.001
54,cook islands,17028.0,2021,5.368,0.091,0.0,28943.293,0.0
55,costa rica,5153959.0,2021,1.517,7.82,0.0,11957.598,0.001
56,cote d'ivoire,27478250.0,2021,0.426,11.707,0.0,2370.596,0.004
57,croatia,4060139.0,2021,4.36,17.701,1.686,24213.969,0.001
58,cuba,11256373.0,2021,1.96,22.057,0.005,9229.538,0.002
59,curacao,190348.0,2021,9.686,1.844,0.0,945.8012862745098,0.0
60,cyprus,1244193.0,2021,6.109,7.6,0.201,23985.012,0.0
61,czechia,10510748.0,2021,9.242,97.138,51.778,44385.371,0.005
62,democratic republic of congo,95894120.0,2021,0.027,2.607,0.0,410.887,0.009
63,denmark,5854246.0,2021,5.052,29.577,4.377,32148.652,0.002
64,djibouti,1105562.0,2021,0.343,0.379,0.0,2785.072,0.0
65,dominica,72435.0,2021,2.189,0.159,0.0,10547.773,0.0
66,dominican republic,11117873.0,2021,2.601,28.922,4.524,9987.583,0.001
67,east timor,1320944.0,2021,0.557,0.736,0.0,1615.498,0.0
68,ecuador,17797736.0,2021,2.322,41.322,0.0,11923.518,0.002
69,egypt,109262184.0,2021,2.285,249.624,6.228,9639.12,0.003
70,el salvador,6314165.0,2021,1.141,7.204,0.004,7076.433,0.0
71,equatorial guinea,1634473.0,2021,3.197,5.225,0.0,12399.339,0.0
72,eritrea,3620324.0,2021,0.227,0.821,0.0,914.495,0.0
73,estonia,1328704.0,2021,7.864,10.449,6.222,46380.293,0.001
74,eswatini,1192273.0,2021,0.912,1.087,0.191,5981.112,0.0
75,ethiopia,120283024.0,2021,0.148,17.793,1.264,871.584,0.003
76,europe,746417727.0,2021,7.112,5306.228,1233.288,40415.152,0.268
77,europe (gcp),945.8012862745098,2021,945.8012862745098,5306.228,945.8012862745098,945.8012862745098,945.8012862745098
78,europe (excl. eu-27),945.8012862745098,2021,8.349,2513.211,545.581,945.8012862745098,0.136
79,europe (excl. eu-28),945.8012862745098,2021,9.269,2166.438,521.892,945.8012862745098,0.102
80,european union (27),445051201.0,2021,6.276,2793.016,687.707,37623.633,0.132
81,european union (27) (gcp),945.8012862745098,2021,945.8012862745098,2793.016,945.8012862745098,945.8012862745098,945.8012862745098
82,european union (28),945.8012862745098,2021,6.128,3139.79,711.397,945.8012862745098,0.166
83,falkland islands,3786.0,2021,945.8012862745098,945.80128627451,945.8012862745098,49393.32,945.8012862745098
84,faroe islands,52915.0,2021,13.198,0.698,0.0,70956.359,0.0
85,fiji,924615.0,2021,1.59,1.47,0.0,9222.848,0.0
86,finland,5535982.0,2021,6.792,37.602,12.291,57765.715,0.002
87,france,64531448.0,2021,4.741,305.964,28.878,40464.465,0.016
88,french equatorial africa (gcp),945.8012862745098,1958,945.8012862745098,0.429,0.0,945.8012862745098,945.8012862745098
89,french equatorial africa (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
90,french guiana,297462.0,2021,2.19,0.651,0.0,0.0,945.8012862745098
91,french polynesia,304038.0,2021,3.124,0.95,0.0,15242.301,0.0
92,french west africa (gcp),945.8012862745098,1957,945.8012862745098,1.403,0.004,945.8012862745098,945.8012862745098
93,french west africa (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
94,gabon,2341185.0,2021,2.44,5.712,0.0,8009.644,0.001
95,gambia,2639922.0,2021,0.248,0.656,0.0,931.273,0.0
96,georgia,3757984.0,2021,2.93,11.01,0.527,20834.768,0.0
97,germany,83408560.0,2021,8.09,674.754,230.221,42555.059,0.041
98,ghana,32833036.0,2021,0.649,21.313,0.0,3483.363,0.001
99,greece,10445368.0,2021,5.391,56.309,9.775,28961.367,0.002
100,greenland,56266.0,2021,9.076,0.511,0.0,63520.266,0.0
101,grenada,124624.0,2021,2.561,0.319,0.0,9432.062,0.0
102,guadeloupe,396057.0,2021,5.785,2.291,0.419,0.0,945.8012862745098
103,guatemala,17608484.0,2021,1.154,20.327,5.539,5712.118,0.002
104,guernsey,63092.0,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,945.8012862745098
105,guinea,13531909.0,2021,0.358,4.842,0.0,1281.525,0.001
106,guinea-bissau,2060730.0,2021,0.171,0.352,0.0,677.328,0.0
107,guyana,804571.0,2021,3.838,3.088,0.0,13690.034,0.001
108,haiti,11447575.0,2021,0.251,2.876,0.0,1030.881,0.0
109,high-income countries,1219584303.0,2021,10.148,12608.317,2827.354,56267.426,0.504
110,honduras,10278346.0,2021,1.06,10.898,0.0,5086.934,0.001
111,hong kong,7494580.0,2021,4.225,31.664,13.834,32466.973,0.001
112,hungary,9709784.0,2021,4.99,48.455,6.391,29247.697,0.002
113,iceland,370338.0,2021,9.113,3.375,0.668,156923.656,0.0
114,india,1407563904.0,2021,1.925,2709.684,1802.312,6809.62,0.036
115,indonesia,273753184.0,2021,2.262,619.278,303.154,7871.843,0.04
116,international transport,945.8012862745098,2021,945.8012862745098,1021.749,945.8012862745098,945.8012862745098,0.019
117,iran,87923432.0,2021,8.517,748.879,3.73,38225.703,0.009
118,iraq,43533592.0,2021,4.263,185.581,0.0,13267.278,0.002
119,ireland,4986525.0,2021,7.528,37.54,6.293,35991.977,0.001
120,isle of man,84286.0,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,945.8012862745098
121,israel,8900057.0,2021,6.127,54.529,14.043,32588.326,0.001
122,italy,59240336.0,2021,5.548,328.687,24.0,29723.066,0.011
123,jamaica,2827701.0,2021,2.719,7.69,0.371,12235.784,0.0
124,japan,124612528.0,2021,8.566,1067.398,418.82,39995.086,0.031
125,jersey,109634.0,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,945.8012862745098
126,jordan,11148288.0,2021,2.296,25.594,0.543,9183.148,0.0
127,kazakhstan,19196468.0,2021,14.413,276.683,180.818,42442.488,0.011
128,kenya,53005616.0,2021,0.375,19.875,1.703,1952.694,0.001
129,kiribati,128883.0,2021,0.555,0.072,0.0,2446.698,0.0
130,kosovo,1662022.0,2021,3.396,5.644,3.217,16776.646,0.0
131,kuwait,4250111.0,2021,24.972,106.134,0.0,98065.5,0.002
132,kuwaiti oil fires (gcp),945.8012862745098,1991,945.8012862745098,477.925,0.0,945.8012862745098,945.8012862745098
133,kuwaiti oil fires (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
134,kyrgyzstan,6527742.0,2021,1.426,9.308,3.6,9274.61,0.001
135,laos,7425055.0,2021,2.798,20.778,15.104,18847.086,0.001
136,latvia,1873926.0,2021,3.878,7.266,0.137,22625.613,0.001
137,least developed countries (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.052
138,lebanon,5592626.0,2021,4.463,24.959,0.434,18831.662,0.0
139,leeward islands (gcp),945.8012862745098,1956,945.8012862745098,0.033,0.004,945.8012862745098,945.8012862745098
140,leeward islands (jones et al. 2023),945.8012862745098,2021,945.8012862745098,945.80128627451,945.8012862745098,945.8012862745098,0.0
141,lesotho,2281464.0,2021,1.0,2.282,1.582,2132.814,0.0
142,liberia,5193422.0,2021,0.23,1.195,0.0,1064.616,0.001
143,libya,6735280.0,2021,11.065,74.525,0.0,28270.334,0.001
144,liechtenstein,39058.0,2021,3.865,0.151,0.0,945.8012862745098,0.0
145,lithuania,2786652.0,2021,4.981,13.881,0.732,25173.395,0.001
146,low-income countries,698782037.0,2021,0.287,206.459,60.79,1225.73,0.031
