,country,year,population,co2,co2_per_capita
0,Afghanistan,2021,40099460.0,11874000.0,0.296
1,Africa,2021,1393676724.0,1450796000.0,1.041
2,Albania,2021,2854710.0,4619000.0,1.618
3,Algeria,2021,44177964.0,176269000.0,3.99
4,Andorra,2021,79057.0,453000.0,5.729
5,Angola,2021,34503776.0,21363000.0,0.619
6,Anguilla,2021,15779.0,145000.0,9.173
7,Antigua and Barbuda,2021,93229.0,469000.0,5.027
8,Argentina,2021,45276788.0,186448000.0,4.118
9,Armenia,2021,2790971.0,6806000.0,2.439
10,Aruba,2021,106543.0,858000.0,8.054
12,Australia,2021,25921094.0,391187000.0,15.091
13,Austria,2021,8922086.0,64626000.00000001,7.243
14,Azerbaijan,2021,10312992.0,38493000.0,3.732
15,Bahamas,2021,407920.0,2386000.0,5.85
16,Bahrain,2021,1463266.0,39016000.0,26.664
17,Bangladesh,2021,169356240.0,93176000.0,0.55
18,Barbados,2021,281204.0,1125000.0,4.002
19,Belarus,2021,9578172.0,59602000.0,6.223
20,Belgium,2021,11611416.0,95722000.0,8.244
21,Belize,2021,400037.0,689000.0,1.723
22,Benin,2021,12996901.0,7756000.0,0.597
23,Bermuda,2021,64213.0,548000.0,8.533
24,Bhutan,2021,777500.0,1522000.0,1.958
25,Bolivia,2021,12079474.0,23322000.0,1.931
26,Bonaire Sint Eustatius and Saba,2021,26730.0,103000.0,3.868
27,Bosnia and Herzegovina,2021,3270948.0,13566000.0,4.148
28,Botswana,2021,2588424.0,6500000.0,2.511
29,Brazil,2021,214326224.0,488881000.0,2.281
30,British Virgin Islands,2021,31145.0,159000.0,5.09
31,Brunei,2021,445382.0,10481000.0,23.532
32,Bulgaria,2021,6885864.0,42560000.0,6.181
33,Burkina Faso,2021,22100690.0,5698000.0,0.258
34,Burundi,2021,12551215.0,693000.0,0.055
35,Cambodia,2021,16589031.0,19029000.0,1.147
36,Cameroon,2021,27198632.0,9297000.0,0.342
37,Canada,2021,38155012.0,545635000.0,14.3
38,Cape Verde,2021,587936.0,668000.0,1.136
39,Central African Republic,2021,5457165.0,227000.0,0.042
40,Chad,2021,17179744.0,1940000.0,0.113
41,Chile,2021,19493184.0,85447000.0,4.383
42,China,2021,1425893504.0,11472368000.0,8.046
43,Colombia,2021,51516560.0,91703000.0,1.78
44,Comoros,2021,821632.0,298000.0,0.363
45,Congo,2021,5835814.0,7464000.0,1.279
46,Cook Islands,2021,17028.0,91000.0,5.368
47,Costa Rica,2021,5153959.0,7820000.0,1.517
48,Cote d'Ivoire,2021,27478250.0,11707000.0,0.426
49,Croatia,2021,4060139.0,17701000.0,4.36
50,Cuba,2021,11256373.0,22057000.0,1.96
51,Curacao,2021,190348.0,1844000.0,9.686
52,Cyprus,2021,1244193.0,7600000.0,6.109
53,Czechia,2021,10510748.0,97138000.0,9.242
54,Democratic Republic of Congo,2021,95894120.0,2607000.0,0.027
55,Denmark,2021,5854246.0,29577000.0,5.052
56,Djibouti,2021,1105562.0,379000.0,0.343
57,Dominica,2021,72435.0,159000.0,2.189
58,Dominican Republic,2021,11117873.0,28922000.0,2.601
59,East Timor,2021,1320944.0,736000.0,0.557
60,Ecuador,2021,17797736.0,41322000.0,2.322
61,Egypt,2021,109262184.0,249624000.0,2.285
62,El Salvador,2021,6314165.0,7204000.0,1.141
63,Equatorial Guinea,2021,1634473.0,5225000.0,3.197
64,Eritrea,2021,3620324.0,821000.0,0.227
65,Estonia,2021,1328704.0,10449000.0,7.864
